;;TABLA;FEC_TRAS;FEC_FIN;HAS;BASICO;RENDIMIENTO;VARIEDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;207;08/07/2005;26/09/2005;3,65;BROCOLI;8,379;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;D O R S O;;;;;;;G U S A N O;;;;;;;;;C H I N C H E;;;;;;B E N E F I C O S;;;;;;;;;
DIA;LAPSO;FECHA_MUESTRA;N_PLANTAS;DORSO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;GUSANO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;PULGON;PROMEDIO PULGON;CHINCHE;HUEVESILLO;GRANDE;PROMEDIO;DIABROTICA;PROMEDIO DIABROTICA;BENEFICOS;DORSO_PARASITADO;GUSANOS PARASITADOS;PULGON PARASITADO;CHRYSOPA;SYRFID;DIADEGMA;CATARINA;PIRATA;PROMEDIO BENEFICOS;PROMEDIO TOTAL
33;4;09-ago-05;DIADEGMA;4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;1;10-ago-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;10-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;10-ago-05;TRICHOGRAMMA;31 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;10-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;1;11-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;;11-ago-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;1;12-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1;13-ago-05;DIADEGMA;4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;4;17-ago-05;DIADEGMA;9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;17-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;17-ago-05;TRICHOGRAMMA;33 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;17-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;1;18-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1;19-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;4;23-ago-05;DIADEGMA;4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;;23-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;1;24-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;;24-ago-05;TRICHOGRAMMA;34 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;;24-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;1;25-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;1;26-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;4;30-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;1;31-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;;31-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;;31-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;7;07-sep-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;1;08-sep-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
